Serie,Modelo,Variable,Importancia
GHI_Diaria,Random Forest,Altura Solar en Grados,0.0753998619596155
GHI_Diaria,Random Forest,Azimut Solar en Grados,0.07969736519035431
GHI_Diaria,Random Forest,Temperatura Ambiente en C,0.636453180957941
GHI_Diaria,Random Forest,Velociad del Viento en m/s,0.06925082425332955
GHI_Diaria,Random Forest,lag1,0.13919876763875955
GHI_Diaria,XGBoost,Altura Solar en Grados,0.05660761892795563
GHI_Diaria,XGBoost,Azimut Solar en Grados,0.07303867489099503
GHI_Diaria,XGBoost,Temperatura Ambiente en C,0.6704754829406738
GHI_Diaria,XGBoost,Velociad del Viento en m/s,0.0689397007226944
GHI_Diaria,XGBoost,lag1,0.1309385448694229
GHI_Manana,Random Forest,Altura Solar en Grados,0.13215622377152447
GHI_Manana,Random Forest,Azimut Solar en Grados,0.08926632686632965
GHI_Manana,Random Forest,Temperatura Ambiente en C,0.43359815171837934
GHI_Manana,Random Forest,Velociad del Viento en m/s,0.11887904913081693
GHI_Manana,Random Forest,lag1,0.22610024851294974
GHI_Manana,XGBoost,Altura Solar en Grados,0.10210426896810532
GHI_Manana,XGBoost,Azimut Solar en Grados,0.10394436866044998
GHI_Manana,XGBoost,Temperatura Ambiente en C,0.4950440227985382
GHI_Manana,XGBoost,Velociad del Viento en m/s,0.09074433147907257
GHI_Manana,XGBoost,lag1,0.20816299319267273
GHI_Tarde,Random Forest,Altura Solar en Grados,0.10062698271291605
GHI_Tarde,Random Forest,Azimut Solar en Grados,0.07389303136038546
GHI_Tarde,Random Forest,Temperatura Ambiente en C,0.6624477840133786
GHI_Tarde,Random Forest,Velociad del Viento en m/s,0.0672710747082243
GHI_Tarde,Random Forest,lag1,0.09576112720509557
GHI_Tarde,XGBoost,Altura Solar en Grados,0.08708913624286652
GHI_Tarde,XGBoost,Azimut Solar en Grados,0.0963238999247551
GHI_Tarde,XGBoost,Temperatura Ambiente en C,0.6532820463180542
GHI_Tarde,XGBoost,Velociad del Viento en m/s,0.07368210703134537
GHI_Tarde,XGBoost,lag1,0.08962278813123703
GHI_hora_07h,Random Forest,Altura Solar en Grados,0.4838946309218087
GHI_hora_07h,Random Forest,Azimut Solar en Grados,0.07630094385497248
GHI_hora_07h,Random Forest,Temperatura Ambiente en C,0.19724333072265077
GHI_hora_07h,Random Forest,Velociad del Viento en m/s,0.12635095304138977
GHI_hora_07h,Random Forest,lag1,0.11621014145917831
GHI_hora_07h,XGBoost,Altura Solar en Grados,0.4586784839630127
GHI_hora_07h,XGBoost,Azimut Solar en Grados,0.06442129611968994
GHI_hora_07h,XGBoost,Temperatura Ambiente en C,0.17933669686317444
GHI_hora_07h,XGBoost,Velociad del Viento en m/s,0.21242856979370117
GHI_hora_07h,XGBoost,lag1,0.08513489365577698
GHI_hora_08h,Random Forest,Altura Solar en Grados,0.28210813694437215
GHI_hora_08h,Random Forest,Azimut Solar en Grados,0.11483501081100533
GHI_hora_08h,Random Forest,Temperatura Ambiente en C,0.20840424728274148
